Plasmid,PCN,Kan,rate_of_gain_log(GFP/OD),mean_of_gain_rate(log(GFP/OD)),std_of_gain_rate(log(GFP/OD)),ci_lower,ci_upper,tet,Jumping
pBR322,60.0,1,0.024885675513366134,0.04723462863388328,0.0230575575676055,0.02417707106627778,0.07029218620148878,10,1
pBR322,60.0,1,0.01746927055767679,0.04723462863388328,0.0230575575676055,0.02417707106627778,0.07029218620148878,10,1
pBR322,60.0,1,0.024944562564863063,0.04723462863388328,0.0230575575676055,0.02417707106627778,0.07029218620148878,10,1
pBR322,60.0,1,0.023028807082797278,0.04723462863388328,0.0230575575676055,0.02417707106627778,0.07029218620148878,10,1
pBR322,60.0,1,0.03351699334860421,0.04723462863388328,0.0230575575676055,0.02417707106627778,0.07029218620148878,10,1
pBR322,60.0,0,0.06442389816207747,0.04723462863388328,0.0230575575676055,0.02417707106627778,0.07029218620148878,10,1
pBR322,60.0,0,0.06750469590543338,0.04723462863388328,0.0230575575676055,0.02417707106627778,0.07029218620148878,10,1
pBR322,60.0,0,0.06845613417022502,0.04723462863388328,0.0230575575676055,0.02417707106627778,0.07029218620148878,10,1
pBR322,60.0,0,0.07973334383403984,0.04723462863388328,0.0230575575676055,0.02417707106627778,0.07029218620148878,10,1
pBR322,60.0,0,0.0683829051997496,0.04723462863388328,0.0230575575676055,0.02417707106627778,0.07029218620148878,10,1
CloDF13,100.0,1,0.043367300382800796,0.08260087083337402,0.03429149593691052,0.048309374896463496,0.11689236677028453,10,1
CloDF13,100.0,1,0.04099986455293,0.08260087083337402,0.03429149593691052,0.048309374896463496,0.11689236677028453,10,1
CloDF13,100.0,1,0.05226734505066897,0.08260087083337402,0.03429149593691052,0.048309374896463496,0.11689236677028453,10,1
CloDF13,100.0,1,0.05678803455869402,0.08260087083337402,0.03429149593691052,0.048309374896463496,0.11689236677028453,10,1
CloDF13,100.0,1,0.05019685553942136,0.08260087083337402,0.03429149593691052,0.048309374896463496,0.11689236677028453,10,1
CloDF13,100.0,0,0.11062627485091986,0.08260087083337402,0.03429149593691052,0.048309374896463496,0.11689236677028453,10,1
CloDF13,100.0,0,0.11093253552332362,0.08260087083337402,0.03429149593691052,0.048309374896463496,0.11689236677028453,10,1
CloDF13,100.0,0,0.11826032444251205,0.08260087083337402,0.03429149593691052,0.048309374896463496,0.11689236677028453,10,1
CloDF13,100.0,0,0.1214645426236977,0.08260087083337402,0.03429149593691052,0.048309374896463496,0.11689236677028453,10,1
CloDF13,100.0,0,0.12110563080877196,0.08260087083337402,0.03429149593691052,0.048309374896463496,0.11689236677028453,10,1
pUC,200.0,1,0.14090909814526292,0.14391140096517283,0.010696061021378043,0.13321533994379478,0.15460746198655087,10,1
pUC,200.0,1,0.13214760695105324,0.14391140096517283,0.010696061021378043,0.13321533994379478,0.15460746198655087,10,1
pUC,200.0,1,0.13774238011824352,0.14391140096517283,0.010696061021378043,0.13321533994379478,0.15460746198655087,10,1
pUC,200.0,1,0.13149428952593673,0.14391140096517283,0.010696061021378043,0.13321533994379478,0.15460746198655087,10,1
pUC,200.0,1,0.13270731879390152,0.14391140096517283,0.010696061021378043,0.13321533994379478,0.15460746198655087,10,1
pUC,200.0,0,0.14656099283698032,0.14391140096517283,0.010696061021378043,0.13321533994379478,0.15460746198655087,10,1
pUC,200.0,0,0.16404364035792665,0.14391140096517283,0.010696061021378043,0.13321533994379478,0.15460746198655087,10,1
pUC,200.0,0,0.15886360839861638,0.14391140096517283,0.010696061021378043,0.13321533994379478,0.15460746198655087,10,1
pUC,200.0,0,0.15046228255728394,0.14391140096517283,0.010696061021378043,0.13321533994379478,0.15460746198655087,10,1
pUC,200.0,0,0.1441827919665233,0.14391140096517283,0.010696061021378043,0.13321533994379478,0.15460746198655087,10,1
