PCN,ExpRep,rate_of_gain_log(transposon copy),rate_of_gain_log(plasmid copy),rate_of_gain_log(T/P),Kan,averagePCN,Jumping
pBR322,1,0.027865853250443422,0.02660851273329161,0.0029774017791139025,1,29.351686972525226,1
pBR322,2,0.027297089226164768,0.025696804508366058,0.0032345647065434285,1,29.351686972525226,1
pBR322,3,0.029252099108613126,0.02659745328407428,0.004427670054232912,1,29.351686972525226,1
pBR322,4,0.02679991543434437,0.005047223147081353,0.0237398027204741,1,29.351686972525226,1
pBR322,5,0.03331915326284021,0.03080766967004317,0.004479075250113241,1,29.351686972525226,1
CloDF,1,0.047030253205705086,0.04253809460720006,0.0063177536458625195,1,51.36592805739784,1
CloDF,2,0.0455010786740371,0.04069046959165514,0.006452527495216316,1,51.36592805739784,1
CloDF,3,0.05420976406699831,0.048025064713026,0.008499471068632766,1,51.36592805739784,1
CloDF,4,0.058692490172023416,0.05211196039857006,0.009241430711939995,1,51.36592805739784,1
CloDF,5,0.05134716041554385,0.043983273665009585,0.009541432139563035,1,51.36592805739784,1
pUC,1,0.2084356947587791,0.02463961314626421,0.24866716572507086,1,357.94910379436783,1
pUC,2,0.2037369084958933,0.026582334015942576,0.24125025479655535,1,357.94910379436783,1
pUC,3,0.22330784277668814,0.04442991602560594,0.27582831596489216,1,357.94910379436783,1
pUC,4,0.21336321541422118,0.03179558990554649,0.29834221054526355,1,357.94910379436783,1
pUC,5,0.2109218924914631,0.029080617730924782,0.2877473451778269,1,357.94910379436783,1
pBR322,1,0.05838368576276293,0.057480107725603725,0.004590755940041598,0,29.351686972525226,1
pBR322,2,0.057157515489441334,0.056829357688532235,0.003922813788293073,0,29.351686972525226,1
pBR322,3,0.06469540222572663,0.059387242032459486,0.009756817517742962,0,29.351686972525226,1
pBR322,4,0.058344417664166925,0.04443878361954443,0.016834763572418122,0,29.351686972525226,1
pBR322,5,0.06083529652927678,0.05536563803978464,0.00991894115727603,0,29.351686972525226,1
CloDF,1,0.0971802184454555,0.09738141225845505,0.003900973160814099,0,51.36592805739784,1
CloDF,2,0.10364278085974293,0.10308565490175968,0.004799218593984578,0,51.36592805739784,1
CloDF,3,0.10846906912358999,0.10549609061912502,0.008058251483644715,0,51.36592805739784,1
CloDF,4,0.1137417346463479,0.11186732369244291,0.007449978887420656,0,51.36592805739784,1
CloDF,5,0.12642084484179453,0.13170159720779373,0.0022302067424717948,0,51.36592805739784,1
pUC,1,0.21284939480862997,0.18699345242278884,0.05955417431286838,0,357.94910379436783,1
pUC,2,0.22720261610262193,0.20763288510235478,0.06672187563945618,0,357.94910379436783,1
pUC,3,0.22558171201603497,0.20435498909649474,0.07162207395340081,0,357.94910379436783,1
pUC,4,0.21776891194101203,0.19420296283719876,0.0703241052421451,0,357.94910379436783,1
pUC,5,0.2161282160621851,0.19695971500010767,0.055859458880672945,0,357.94910379436783,1
